User ID,Subscription Plan,Monthly Revenue ($),Join Date,Last Payment,Country,Age,Gender,Device,Plan Duration (Months),Total Movies/Shows Watched,Genre Preference,No. of Recommendations Viewed,% of Recommendations Acted Upon,Frequency of Rating
498,Basic,8.99,1/5/2022,7/12/2023,Canada,27,Male,Laptop,3,80,Romance,3,30%,Never
499,Standard,11.99,5/9/2022,7/11/2023,USA,46,Female,Smart TV,6,160,Thriller,6,60%,Monthly
500,Premium,15.99,10/12/2021,7/10/2023,Australia,32,Male,Mobile,12,250,Crime,10,70%,Weekly
501,Basic,8.99,1/28/2022,7/12/2023,UK,27,Female,Laptop,3,70,Drama,3,30%,Never
502,Standard,11.99,9/15/2022,7/11/2023,Canada,30,Male,Smart TV,6,140,Comedy,5,50%,Monthly
503,Premium,15.99,8/3/2020,7/12/2023,Australia,24,Female,Mobile,6,100,Drama,3,30%,Weekly
504,Standard,11.99,12/18/2021,7/11/2023,USA,39,Male,Laptop,12,180,Romance,8,60%,Monthly
505,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Action,1,10%,Never
506,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Comedy,10,70%,Weekly
507,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Drama,4,40%,Monthly
508,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Thriller,2,20%,Never
509,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,9,80%,Monthly
510,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Romance,3,30%,Never
511,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Sci-Fi,6,50%,Monthly
512,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Fantasy,8,60%,Weekly
513,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Comedy,4,40%,Never
514,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Mystery,10,70%,Monthly
515,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Comedy,1,10%,Never
516,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Romance,10,70%,Weekly
517,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Action,4,40%,Monthly
518,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Drama,2,20%,Never
519,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Thriller,9,80%,Monthly
520,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Sci-Fi,3,30%,Never
521,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Mystery,6,50%,Monthly
522,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Action,8,60%,Weekly
523,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Romance,4,40%,Never
524,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Drama,10,70%,Monthly
525,Standard,11.99,6/30/2021,7/10/2023,USA,28,Female,Smart TV,6,130,Thriller,5,50%,Weekly
526,Basic,8.99,3/18/2022,7/11/2023,Australia,39,Male,Laptop,3,60,Comedy,2,20%,Never
527,Premium,15.99,8/11/2021,7/10/2023,UK,33,Female,Mobile,12,230,Romance,9,80%,Monthly
528,Basic,8.99,1/5/2022,7/12/2023,Canada,27,Male,Laptop,3,80,Action,3,30%,Never
529,Standard,11.99,5/9/2022,7/11/2023,USA,46,Female,Smart TV,6,160,Sci-Fi,6,60%,Monthly
530,Premium,15.99,10/12/2021,7/10/2023,Australia,32,Male,Mobile,12,250,Fantasy,10,70%,Weekly
531,Basic,8.99,1/28/2022,7/12/2023,UK,27,Female,Laptop,3,70,Comedy,3,30%,Never
532,Standard,11.99,9/15/2022,7/11/2023,Canada,30,Male,Smart TV,6,140,Mystery,5,50%,Monthly
533,Premium,15.99,8/3/2020,7/12/2023,Australia,24,Female,Mobile,6,100,Drama,3,30%,Weekly
534,Standard,11.99,12/18/2021,7/11/2023,USA,39,Male,Laptop,12,180,Romance,8,60%,Monthly
535,Basic,8.99,6/10/2022,7/10/2023,UK,28,Female,Smart TV,3,50,Thriller,1,10%,Never
536,Premium,15.99,9/25/2020,7/12/2023,Canada,33,Male,Laptop,12,250,Action,10,70%,Weekly
537,Standard,11.99,5/9/2021,7/10/2023,USA,46,Female,Mobile,6,120,Comedy,4,40%,Monthly
538,Basic,8.99,2/14/2022,7/12/2023,Australia,32,Male,Smart TV,3,80,Sci-Fi,2,20%,Never
539,Premium,15.99,7/21/2021,7/11/2023,UK,27,Female,Laptop,12,220,Mystery,30,80%,Monthly
540,Basic,8.99,3/5/2023,7/10/2023,Canada,42,Male,Mobile,3,70,Drama,3,30%,Never
541,Standard,11.99,11/16/2022,7/12/2023,USA,30,Female,Laptop,6,140,Romance,6,50%,Monthly
542,Premium,15.99,4/2/2021,7/11/2023,Australia,35,Male,Smart TV,12,180,Fantasy,8,60%,Weekly
543,Basic,8.99,8/9/2022,7/10/2023,UK,29,Female,Laptop,3,90,Comedy,4,40%,Never
544,Premium,15.99,10/16/2020,7/12/2023,Canada,41,Male,Mobile,12,200,Mystery,10,70%,Monthly
545,Basic,8.99,12/31/2021,7/12/2023,UK,55,Female,Mobile,12,250,Drama,,54%,Monthly
546,Basic,100,1/9/2021,7/11/2023,USA,25,Female,Mobile,1,10,Action,50,30%,Monthly
